mw,logp,tpsa,hbd,hba,rotatable_bonds,toxic
437.7,-0.82,55.8,1,2,3,0
454.5,5.25,31.3,3,0,0,1
192.2,0.63,98.3,4,3,13,0
249.2,3.12,125.2,0,2,13,0
303.1,0.09,144.4,2,1,2,1
321.0,1.51,64.7,2,0,14,0
391.3,5.81,69.2,4,4,11,0
409.8,3.93,26.0,1,4,2,0
534.9,5.07,69.4,3,10,11,1
223.2,1.49,107.1,5,10,2,0
424.1,0.2,114.8,1,7,12,0
271.5,5.48,109.5,1,10,10,0
529.3,4.43,49.8,0,5,12,0
270.5,0.48,142.6,5,5,6,1
444.9,1.77,138.9,3,2,8,1
212.8,4.21,90.1,5,9,13,0
554.0,1.8,48.5,1,8,15,0
190.9,-0.67,34.3,5,2,13,0
418.4,1.69,97.5,3,8,8,0
587.0,5.03,21.5,5,1,8,1
495.9,1.38,58.2,1,7,0,0
579.2,5.13,54.2,4,2,3,1
541.7,1.09,103.1,4,3,4,0
318.3,0.13,144.0,4,0,10,1
369.9,-0.22,67.2,2,3,1,0
258.4,2.97,30.2,5,7,2,0
590.1,2.73,36.3,5,7,5,0
269.3,5.11,75.0,1,8,6,0
470.8,1.79,107.3,2,7,14,0
204.5,0.57,64.0,4,8,7,0
414.8,-0.95,112.0,0,3,2,0
557.4,5.02,29.2,1,4,15,1
246.4,-0.07,141.6,4,9,15,1
259.3,2.31,72.9,0,1,13,0
309.4,1.88,132.3,0,10,3,1
177.3,4.1,124.1,0,3,6,0
235.6,2.14,74.8,2,7,7,0
543.5,-0.47,125.0,4,1,1,0
443.5,2.78,21.9,0,3,5,0
332.9,2.37,132.4,0,2,12,1
180.2,1.31,63.6,1,3,2,0
206.3,3.07,37.3,1,1,4,0
194.2,-1.03,61.8,0,3,0,0
218.3,2.73,23.6,0,1,4,0
248.3,1.91,57.3,3,3,6,0
151.2,1.35,49.3,2,2,1,0
225.3,1.52,72.7,4,4,3,0
234.3,2.58,32.3,1,2,5,0
277.4,4.17,3.2,0,1,3,0
232.3,1.86,54.1,2,2,4,0
172.2,2.01,34.1,0,2,0,1
189.2,0.82,57.6,1,3,1,1
349.4,3.37,36.4,0,3,2,1
160.2,1.67,41.8,2,1,2,1
297.4,3.64,29.5,0,3,8,0
217.3,0.71,48.1,1,4,1,0
