== Cobertura de provenance por campo y fuente (FND-06) ==
modo: sidecar | poses: 4300 | sin provenance: 0 | registros: 560 | registros invalidos: 0

campo           flexible_redock(1534)  molflex(2213)    ruta_a(553)     total            
--------------  ---------------------  ---------------  --------------  -----------------
source          1534/0/0 100.0%        2213/0/0 100.0%  553/0/0 100.0%  4300/0/0 100.0%  
seed            0/1534/0 0.0%          2213/0/0 100.0%  0/553/0 0.0%    2213/2087/0 51.5%
conformer_id    1534/0/0 100.0%        2213/0/0 100.0%  553/0/0 100.0%  4300/0/0 100.0%  
exhaustiveness  1534/0/0 100.0%        2213/0/0 100.0%  553/0/0 100.0%  4300/0/0 100.0%  
num_modes       1534/0/0 100.0%        2213/0/0 100.0%  553/0/0 100.0%  4300/0/0 100.0%  
box             1534/0/0 100.0%        2213/0/0 100.0%  553/0/0 100.0%  4300/0/0 100.0%  
preparation     1534/0/0 100.0%        2213/0/0 100.0%  553/0/0 100.0%  4300/0/0 100.0%  
engine          1534/0/0 100.0%        2213/0/0 100.0%  553/0/0 100.0%  4300/0/0 100.0%  
experiment_id   1534/0/0 100.0%        2213/0/0 100.0%  553/0/0 100.0%  4300/0/0 100.0%  
created_at      0/1534/0 0.0%          0/2213/0 0.0%    0/553/0 0.0%    0/4300/0 0.0%    

Celda: conocido/unknown/faltante + % conocido (faltante = sin clave en el registro).
