pdb_id,name,chain,family,area,grid_cx,grid_cy,grid_cz,grid_sx,grid_sy,grid_sz,hotspots,grid_center_x,grid_center_y,grid_center_z
7E2Y,5-HT1A Serotonin Receptor,R,gpcr,CNS,103.030,114.790,108.360,40.0,40.0,40.0,15,103.030,114.790,108.360
6X1A,GLP-1R TMD,R,gpcr,Metabolic,131.347,116.776,155.038,30.0,30.0,30.0,15,131.347,116.776,155.038
6CM4,mu-Opioid Receptor,A,gpcr,CNS,9.930,5.850,-9.580,23.0,23.0,23.0,15,9.930,5.850,-9.580
5TGZ,CB1 Cannabinoid Receptor,A,gpcr,CNS,43.640,27.470,318.530,24.0,24.0,24.0,15,43.640,27.470,318.530
4BVN,A2A Adenosine Receptor,A,gpcr,CNS,-23.650,6.420,14.180,22.0,22.0,22.0,15,-23.650,6.420,14.180
6PS2,beta-2 Adrenergic Receptor,A,gpcr,Cardiovascular,1.960,3.550,50.480,34.6,34.6,34.6,11,1.960,3.550,50.480
7DFL,H1 Histamine Receptor,B,gpcr,Allergy,132.659,132.757,158.489,22.9,22.9,22.9,0,132.659,132.757,158.489
6WHA,M2 Muscarinic Receptor,C,gpcr,CNS,98.126,106.210,94.142,28.8,28.8,28.8,15,98.126,106.210,94.142
5NDD,CCR5 Chemokine Receptor,A,gpcr,Infectious,16.974,5.926,55.826,26.0,26.0,26.0,15,16.974,5.926,55.826
6MEO,CXCR4 Chemokine Receptor,G,gpcr,Oncology,145.886,166.486,155.291,27.6,27.6,27.6,0,145.886,166.486,155.291
7BVQ,AT1 Angiotensin Receptor,A,gpcr,Cardiovascular,21.310,-21.660,2.960,22.0,22.0,22.0,13,21.310,-21.660,2.960
4PHU,FFA1/GPR40 Free Fatty Acid,A,gpcr,Metabolic,-49.990,-1.940,59.650,30.0,30.0,30.0,15,-49.990,-1.940,59.650
5ZBH,PAR2 Protease-Activated Receptor,A,gpcr,Inflammation,14.326,23.859,-53.306,37.1,37.1,37.1,15,14.326,23.859,-53.306
1M17,EGFR Kinase Domain,A,kinase,Oncology,22.014,0.253,52.794,32.5,32.5,32.5,15,22.014,0.253,52.794
4FK3,BRAF V600E Kinase,B,kinase,Oncology,-1.985,50.204,20.149,32.1,32.1,32.1,15,-1.985,50.204,20.149
3PP0,CDK4 Cyclin D1,B,kinase,Oncology,17.100,16.550,26.600,22.0,22.0,22.0,15,17.100,16.550,26.600
4ZZZ,CDK4/Cyclin D1 Complex,A,kinase,Oncology,63.410,6.480,9.590,22.0,22.0,22.0,13,63.410,6.480,9.590
3WZE,BTK Bruton Tyrosine Kinase,A,kinase,Oncology,22.876,24.550,36.824,37.0,37.0,37.0,15,22.876,24.550,36.824
3G0E,JAK2 Kinase,A,kinase,Oncology,34.165,-3.628,-78.308,27.8,27.8,27.8,15,34.165,-3.628,-78.308
4E4N,ALK Anaplastic Lymphoma Kinase,A,kinase,Oncology,5.970,55.550,1.090,22.0,22.0,22.0,15,5.970,55.550,1.090
2HZI,ABL1 Kinase Imatinib,A,kinase,Oncology,16.200,14.590,3.940,22.0,22.0,22.0,15,16.200,14.590,3.940
5Z2R,CDK6 Cyclin D3,F,kinase,Oncology,-16.270,-18.460,22.070,22.0,22.0,22.0,15,-16.270,-18.460,22.070
4BCF,PI3K-delta Catalytic,A,kinase,Oncology,54.296,-18.216,-11.557,29.7,29.7,29.7,15,54.296,-18.216,-11.557
3GEN,VEGFR2 Kinase,A,kinase,Oncology,-17.360,6.472,-14.948,30.9,30.9,30.9,15,-17.360,6.472,-14.948
6GUE,FGFR1 Kinase,A,kinase,Oncology,-6.240,-22.230,22.670,22.0,22.0,22.0,15,-6.240,-22.230,22.670
5QTS,MEK1 Kinase,B,kinase,Oncology,-10.140,-5.850,-0.740,29.0,29.0,29.0,5,-10.140,-5.850,-0.740
4AUA,AKT1/PKB Kinase,A,kinase,Oncology,22.700,34.786,-9.209,27.6,27.6,27.6,15,22.700,34.786,-9.209
3ERT,ER-alpha LBD Tamoxifen,A,nuclear_receptor,Oncology,31.575,-1.590,25.599,22.0,22.0,22.0,15,31.575,-1.590,25.599
5L2I,ER-alpha LBD Estradiol,A,nuclear_receptor,Oncology,13.978,28.183,9.647,33.0,33.0,33.0,15,13.978,28.183,9.647
4JPS,ER-alpha LBD Bound,A,nuclear_receptor,Oncology,-1.319,-9.513,16.948,30.3,30.3,30.3,15,-1.319,-9.513,16.948
3O96,ER-alpha LBD Unbound,A,nuclear_receptor,Oncology,8.373,-6.828,12.622,24.0,24.0,24.0,15,8.373,-6.828,12.622
2AM9,Androgen Receptor LBD,A,nuclear_receptor,Oncology,26.767,2.339,4.632,27.6,27.6,27.6,15,26.767,2.339,4.632
1X7R,PPAR-gamma LBD,A,nuclear_receptor,Metabolic,15.707,31.763,22.356,28.7,28.7,28.7,15,15.707,31.763,22.356
3DZY,Glucocorticoid Receptor LBD,D,nuclear_receptor,Inflammation,-10.743,19.284,15.227,29.5,29.5,29.5,0,-10.743,19.284,15.227
4OIV,VDR Vitamin D Receptor,B,nuclear_receptor,Metabolic,12.860,14.060,-20.800,28.8,28.8,28.8,15,12.860,14.060,-20.800
6FBQ,ROR-gamma-t Ligand Binding,A,nuclear_receptor,Autoimmune,-21.834,24.663,38.064,25.2,25.2,25.2,8,-21.834,24.663,38.064
3KJF,DPP-4 Dipeptidyl Peptidase,A,protease,Metabolic,21.578,-5.202,10.866,31.8,31.8,31.8,7,21.578,-5.202,10.866
2JDI,Thrombin Coagulation,A,protease,Cardiovascular,38.420,89.680,94.380,22.0,22.0,22.0,15,38.420,89.680,94.380
4Y79,Factor Xa Coagulation,A,protease,Cardiovascular,8.234,5.597,21.645,31.3,31.3,31.3,15,8.234,5.597,21.645
4DQC,BACE-1 Beta-Secretase,A,protease,CNS,19.710,29.685,14.080,33.1,33.1,33.1,15,19.710,29.685,14.080
